,exp_name,env_name,seed,metric,env_step,value
86,ours,acrobot-swingup,0,avg_return,870000,576.41773895305016
87,ours,acrobot-swingup,0,avg_return,880000,469.89499315326049
88,ours,acrobot-swingup,0,avg_return,890000,505.57444264049661
89,ours,acrobot-swingup,0,avg_return,900000,490.2321943583035
90,ours,acrobot-swingup,0,avg_return,910000,447.99784938676402
91,ours,acrobot-swingup,0,avg_return,920000,623.62057433614177
92,ours,acrobot-swingup,0,avg_return,930000,558.15852492248507
93,ours,acrobot-swingup,0,avg_return,940000,260.38850908670975
94,ours,acrobot-swingup,0,avg_return,950000,388.26727315030246
95,ours,acrobot-swingup,0,avg_return,960000,607.92323546030514
96,ours,acrobot-swingup,0,avg_return,970000,634.60456764638946
97,ours,acrobot-swingup,0,avg_return,980000,576.99872956937554
98,ours,acrobot-swingup,0,avg_return,990000,593.86374384992655
99,ours,acrobot-swingup,0,avg_return,1000000,477.19949402743242
100,ours,acrobot-swingup,1,avg_return,10000,26.042313776573895
101,ours,acrobot-swingup,1,avg_return,20000,34.955787281452274
102,ours,acrobot-swingup,1,avg_return,30000,21.398427180728252
103,ours,acrobot-swingup,1,avg_return,40000,8.98988436155412
104,ours,acrobot-swingup,1,avg_return,50000,42.914846958333165
105,ours,acrobot-swingup,1,avg_return,60000,61.421459269186599
106,ours,acrobot-swingup,1,avg_return,70000,7.2597363565090163
107,ours,acrobot-swingup,1,avg_return,80000,56.74268533192393
108,ours,acrobot-swingup,1,avg_return,90000,107.09975658745516
109,ours,acrobot-swingup,1,avg_return,100000,157.81684611270623
110,ours,acrobot-swingup,1,avg_return,110000,39.670986859404039
111,ours,acrobot-swingup,1,avg_return,120000,276.86308209521928
112,ours,acrobot-swingup,1,avg_return,130000,253.25935522154205
113,ours,acrobot-swingup,1,avg_return,140000,318.1575228986764
114,ours,acrobot-swingup,1,avg_return,150000,300.92932258566736
115,ours,acrobot-swingup,1,avg_return,160000,209.69437799753914
116,ours,acrobot-swingup,1,avg_return,170000,180.59192141528709
117,ours,acrobot-swingup,1,avg_return,180000,407.74518573269859
118,ours,acrobot-swingup,1,avg_return,190000,352.8413662122656
119,ours,acrobot-swingup,1,avg_return,200000,319.56699273972373
120,ours,acrobot-swingup,1,avg_return,210000,349.66557684292582
121,ours,acrobot-swingup,1,avg_return,220000,481.43282531045526
122,ours,acrobot-swingup,1,avg_return,230000,239.06114761250382
123,ours,acrobot-swingup,1,avg_return,240000,482.62266313766105
124,ours,acrobot-swingup,1,avg_return,250000,154.16729273785944
125,ours,acrobot-swingup,1,avg_return,260000,282.46978564738504
126,ours,acrobot-swingup,1,avg_return,270000,411.15547749078405
127,ours,acrobot-swingup,1,avg_return,280000,294.21109064791614
128,ours,acrobot-swingup,1,avg_return,290000,382.525950091141
129,ours,acrobot-swingup,1,avg_return,300000,367.24129756135289
130,ours,acrobot-swingup,1,avg_return,310000,413.1449187196875
131,ours,acrobot-swingup,1,avg_return,320000,249.42914510147517
132,ours,acrobot-swingup,1,avg_return,330000,197.30349741706496
133,ours,acrobot-swingup,1,avg_return,340000,239.28183217410634
134,ours,acrobot-swingup,1,avg_return,350000,449.75622703580029
135,ours,acrobot-swingup,1,avg_return,360000,339.51465474345844
136,ours,acrobot-swingup,1,avg_return,370000,214.20219145351658
137,ours,acrobot-swingup,1,avg_return,380000,409.13754976425344
138,ours,acrobot-swingup,1,avg_return,390000,328.05283582097866
139,ours,acrobot-swingup,1,avg_return,400000,374.33428992842965
140,ours,acrobot-swingup,1,avg_return,410000,354.5473550257567
141,ours,acrobot-swingup,1,avg_return,420000,528.21340636266291
142,ours,acrobot-swingup,1,avg_return,430000,403.20692391908534
143,ours,acrobot-swingup,1,avg_return,440000,382.85853964711293
144,ours,acrobot-swingup,1,avg_return,450000,494.50904877150242
145,ours,acrobot-swingup,1,avg_return,460000,414.87983874406655
146,ours,acrobot-swingup,1,avg_return,470000,489.21063215838876
147,ours,acrobot-swingup,1,avg_return,480000,732.98800191936857
